Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Feature,Chrome 110.0.0.0,,,2023-02-15 12:09:23,2023-02-15 12:10:44,1m - 21.153s,FAILED
,,,,,,,
Test Cases/Step Definition/Login Feature/LGI001 - User want to login without input username and password,Chrome 110.0.0.0,,,2023-02-15 12:09:28,2023-02-15 12:09:36,8.108s,PASSED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:29,2023-02-15 12:09:33,3.819s,PASSED
"callTestCase(findTestCase(""Login Page/Click Login""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:33,2023-02-15 12:09:34,1.392s,PASSED
"callTestCase(findTestCase(""Login Page/Read Error Message""), [""expected"":""Epic sadface: Username is required""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:34,2023-02-15 12:09:36,1.918s,PASSED
,,,,,,,
Test Cases/Step Definition/Login Feature/LGI002 - User want to login only input registered username,Chrome 110.0.0.0,,,2023-02-15 12:09:36,2023-02-15 12:09:45,8.953s,PASSED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:37,2023-02-15 12:09:39,2.203s,PASSED
"callTestCase(findTestCase(""Login Page/Input Username""), [""username"":""standard_user""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:39,2023-02-15 12:09:42,2.074s,PASSED
"callTestCase(findTestCase(""Login Page/Input Password""), [""password"":""""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:42,2023-02-15 12:09:44,2.289s,PASSED
"callTestCase(findTestCase(""Login Page/Click Login""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:44,2023-02-15 12:09:44,0.561s,PASSED
"callTestCase(findTestCase(""Login Page/Read Error Message""), [""expected"":""Epic sadface: Password is required""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:44,2023-02-15 12:09:45,0.960s,PASSED
,,,,,,,
Test Cases/Step Definition/Login Feature/LGI003 - User want to login only input registered password,Chrome 110.0.0.0,,,2023-02-15 12:09:45,2023-02-15 12:10:24,38.490s,FAILED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:46,2023-02-15 12:09:48,2.198s,PASSED
"callTestCase(findTestCase(""Login Page/Input Username""), [""username"":""""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:48,2023-02-15 12:09:50,1.459s,PASSED
"callTestCase(findTestCase(""Login Page/Input Password""), [""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:50,2023-02-15 12:09:51,1.339s,PASSED
"callTestCase(findTestCase(""Login Page/Click Login""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:51,2023-02-15 12:09:52,0.653s,PASSED
"callTestCase(findTestCase(""Login Page/Read Error Message""), [""expected"":""Epic sadface: Username is required""], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:09:52,2023-02-15 12:10:24,31.942s,FAILED
,,,,,,,
Test Cases/Step Definition/Login Feature/LGI004 - User want to login using incorrect credential,Chrome 110.0.0.0,,,2023-02-15 12:10:24,2023-02-15 12:10:43,18.783s,FAILED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:10:25,2023-02-15 12:10:43,17.880s,FAILED
,,,,,,,
Test Cases/Step Definition/Login Feature/LGI005 - User want to login using correct credential,Chrome 110.0.0.0,,,2023-02-15 12:10:43,2023-02-15 12:10:44,1.231s,FAILED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:10:44,2023-02-15 12:10:44,0.299s,FAILED
