Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logout Feature,Chrome 111.0.0.0,,,2023-03-17 14:42:46,2023-03-17 14:43:14,28.219s,PASSED
,,,,,,,
Test Cases/Step Definition/Logout Feature/LGO001 - User want to logout,Chrome 111.0.0.0,,,2023-03-17 14:42:52,2023-03-17 14:43:14,21.856s,PASSED
Start listener action : beforeTestCase,Chrome 111.0.0.0,,,2023-03-17 14:42:52,2023-03-17 14:42:56,3.731s,PASSED
"callTestCase(findTestCase(""Step Definition/Login Feature/LGI005 - User want to login using correct credential""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-17 14:42:57,2023-03-17 14:43:09,11.820s,PASSED
"callTestCase(findTestCase(""Home Page/Click Menu""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-17 14:43:09,2023-03-17 14:43:10,1.355s,PASSED
"callTestCase(findTestCase(""Home Page/Click Logout Menu""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-17 14:43:10,2023-03-17 14:43:11,1.264s,PASSED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-17 14:43:11,2023-03-17 14:43:13,1.844s,PASSED
Start listener action : afterTestCase,Chrome 111.0.0.0,,,2023-03-17 14:43:13,2023-03-17 14:43:14,0.850s,PASSED
