Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logout Feature,Chrome 110.0.0.0,,,2023-02-15 12:17:15,2023-02-15 12:17:42,27.311s,PASSED
,,,,,,,
Test Cases/Step Definition/Logout Feature/LGO001 - User want to logout,Chrome 110.0.0.0,,,2023-02-15 12:17:21,2023-02-15 12:17:42,21.590s,PASSED
Start listener action : beforeTestCase,Chrome 110.0.0.0,,,2023-02-15 12:17:21,2023-02-15 12:17:24,2.875s,PASSED
"callTestCase(findTestCase(""Step Definition/Login Feature/LGI005 - User want to login using correct credential""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:17:24,2023-02-15 12:17:36,12.008s,PASSED
"callTestCase(findTestCase(""Home Page/Click Menu""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:17:36,2023-02-15 12:17:38,1.209s,PASSED
"callTestCase(findTestCase(""Home Page/Click Logout Menu""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:17:38,2023-02-15 12:17:39,1.261s,PASSED
"callTestCase(findTestCase(""Login Page/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-15 12:17:39,2023-02-15 12:17:41,2.586s,PASSED
Start listener action : afterTestCase,Chrome 110.0.0.0,,,2023-02-15 12:17:41,2023-02-15 12:17:42,0.841s,PASSED
